h two_float two_double three_float three_double
1e-10 0 0.333333360913457 0 0.333333360913457
3.16e-10 0 0.33333327500724 0 0.33333327500724
1e-09 0 0.333333360913457 0 0.333333360913457
3.16e-09 0 0.3333333101155747 0 0.3333333101155747
1e-08 0 0.3333333276067663 0 0.3333333276067663
3.16e-08 0 0.3333333276697421 0 0.3333333329359923
1e-07 0.5960464477539062 0.333333317614759 0.5960464477539062 0.3333333331578814
3.16e-07 0.376972883939743 0.3333332837843237 0.376972883939743 0.3333333332870756
1e-06 0.2980232238769531 0.3333331761723457 0.2980232238769531 0.3333333333244148
3.16e-06 0.339275598526001 0.3333328364339231 0.339275598526001 0.3333333333397381
1e-05 0.3337860107421875 0.3333317619924614 0.3337860107421875 0.3333333333410682
3.16e-05 0.3336209654808044 0.3333283643553158 0.3336209654808044 0.3333333333959114
0.0001 0.3331899642944336 0.3333176204667332 0.3331899642944336 0.3333333339505806
0.000316 0.333432525396347 0.3332836491061786 0.333432525396347 0.333333339506166
0.001 0.3331899344921112 0.3331762602040156 0.3333389461040497 0.3333333950616968
0.00316 0.3328293561935425 0.3328370460702497 0.3333288431167603 0.3333339506173574
0.01 0.3317713737487793 0.3317681403193329 0.3333419561386108 0.3333395061810684
0.0316 0.328426331281662 0.3284254705853749 0.333395779132843 0.3333950625486329
0.1 0.3182196617126465 0.3182197858044633 0.3339505195617676 0.3339506967743194
0.316 0.2892797589302063 0.2892797297158674 0.3395115733146667 0.3395115419306515
1 0.2227806448936462 0.2227806269716631 0.3926990926265717 0.3926990816987241
3.16 0.1266027390956879 0.1266027214352375 0.380555272102356 0.3805552705317828
10 0.05280927941203117 0.05280927673628603 0.1469128429889679 0.1469128284780759
31.6 0.01850627921521664 0.01850627647570061 0.04867127910256386 0.04867127446846724
100 0.006056195124983788 0.006056194774797971 0.01560794562101364 0.01560794660108291
316 0.001936362474225461 0.001936362288155197 0.004957294091582298 0.004957293966231184
1e+03 0.0006144811632111669 0.000614481121218697 0.001569796353578568 0.00156979632512823
3.16e+03 0.0001945318217622116 0.0001945318180062282 0.0004966294509358704 0.0004966294132731383
1e+04 6.153797585284337e-05 6.153797228108566e-05 0.0001570696331327781 0.000157069632679323
3.16e+04 1.946217525983229e-05 1.946217737487278e-05 4.967194035998546e-05 4.967194132897884e-05
1e+05 6.154697530291742e-06 6.15469708811807e-06 1.57078629854368e-05 1.570786326794895e-05
3.16e+05 1.946307747857645e-06 1.94630773306003e-06 4.967283985024551e-06 4.967284132898051e-06
1e+06 6.154787115519866e-07 6.154787086718016e-07 1.570795348015963e-06 1.570795326794897e-06
3.16e+06 1.946316672274406e-07 1.946316733015755e-07 4.967292852597893e-07 4.96729313289805e-07
1e+07 6.154796494683978e-08 6.154796086704015e-08 1.570796257510665e-07 1.570796226794897e-07
3.16e+07 1.946317595979963e-08 1.946317633015313e-08 4.967294131574818e-08 4.967294032898051e-08
1e+08 6.154797560498082e-09 6.154796986703876e-09 1.570796293037802e-08 1.570796316794897e-08
3.16e+08 1.946317773615647e-09 1.946317723015308e-09 4.967294131574818e-09 4.96729412289805e-09
1e+09 6.154797782542687e-10 6.154797076703874e-10 1.570796381855644e-09 1.570796325794897e-09
3.16e+09 1.946317967904676e-10 1.946317732015308e-10 4.967294353619423e-10 4.967294131898051e-10
1e+10 6.154797504986931e-11 6.154797085703872e-11 1.570796409611219e-10 1.570796326694896e-10
3.16e+10 1.946317933210207e-11 1.946317732915308e-11 4.967294284230483e-11 4.967294132798051e-11
